"","Pillar 1: Health (0–100 best)","Pillar 2: Education Access (0–100 best)","Pillar 3: Education Quality and Equity (0–100 best)","Pillar 4: Lifelong Learning (0–100 best)","Pillar 5: Technology Access (0–100 best)","Pillar 6: Work Opportunities (0–100 best)","Pillar 7: Fair Wage Distribution (0–100 best)","Pillar 8: Working Conditions (0–100 best)","Pillar 9: Social Resilience (0–100 best)","Pillar 10: Inclusive Institutions (0–100 best)"
"Slovak Republic","79.268347309581259","69.24315764641112","65.427648491283534","56.493681206666665","77.67419481277777","64.043083063186103","77.776789133170269","64.61720742","62.950620483333338","67.144265687606492"
"Slovenia","88.354675348712107","76.997739476293944","77.271848946864694","62.339456306666683","78.272014936388885","77.662024278487948","78.936366679100345","67.757885737500004","79.412079820833327","76.617974800615229"
"South Africa","48.068045779418107","26.521306499999998","22.906326752929687","43.077866233333339","55.986194792137688","34.679858837601365","25.953853397726157","52.51828513666667","43.727897584913137","60.796852263395138"
"Spain","89.748772582049668","72.263705446411137","74.356470466705176","56.57654901250001","82.645660219166658","50.359357023256059","59.896159374331162","71.097493270000001","73.582699154166676","69.906251280581813"
"Sri Lanka","72.774121924427078","55.200197011682164","66.149408333333341","49.149171508333339","53.472822011255431","64.804858856746421","32.72132952056004","44.077269386666671","35.402223026842584","49.084836117273007"
"Sweden","92.103538427920853","84.591085250372728","87.378224506338555","78.25820263","92.221676718888887","74.700662724671815","74.002234724579097","83.612530546666676","82.334846416666664","86.07652873444745"
"Switzerland","94.222102277776798","83.547932760955803","77.374626794380333","81.100986399999996","90.43031168277777","81.277985457073058","69.74509710867838","77.224625246666662","77.600478179166672","88.203704783344534"
"Thailand","66.75165903210268","58.565757423279607","44.419969535738971","47.683089383333325","71.622283934999999","79.668779018797053","51.952787219607067","52.326939833333334","32.451033861362902","48.112825954437639"
"Tunisia","76.963784071130632","61.228092755555558","49.136769163004558","42.251669443333334","64.342550489055554","37.268097652949244","42.002435812407469","52.307416137500006","40.227112533333326","51.029827182623748"
"Turkey","73.439636939338087","39.551863945058599","66.402363597132123","46.531482236666662","68.045470923888885","50.06661489311648","47.897422089196212","40.055717996666665","36.496426516666666","44.128208858182369"
"Ukraine","73.304593308958246","58.357231329606101","65.542012891971012","47.218796913333328","61.608242827777779","71.949299407136579","63.770994676942372","59.467070146666664","69.583360746435645","40.731739981365571"
"United Kingdom","85.838113969238407","82.502886583823255","69.070311372540999","66.206785045833328","88.623934722499996","81.754137318596406","53.063117243075659","62.852530060000007","79.395120608333329","74.266285238942061"
"United States","75.75409429067733","66.809565221380211","76.77223502897013","73.294556137499995","90.210132874444454","82.986593632090774","43.786466319131783","59.050668880000003","61.69401962500001","73.710353146790396"
"Uruguay","64.740575136158554","71.186671935722671","59.417799682163903","57.895992800000002","82.519106282222211","73.071696180732886","41.880484335967608","67.461470033333342","77.949184434138544","74.547989237778822"
"Viet Nam","66.546525115623552","67.138891507664397","76.077480894252233","42.168982749999998","68.007102266388884","75.887554240181743","36.351379411610012","53.26267787916666","36.814507201390214","55.656167437954032"
